name,cuisine,method,value,src,file
凉拌三丝黑木耳,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_凉拌三丝黑木耳.json
凉拌木耳,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_凉拌木耳.json
凉拌木耳黄瓜,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_凉拌木耳黄瓜.json
凉拌洋葱黑木耳,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_凉拌洋葱黑木耳.json
凉拌爽脆黑木耳,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_凉拌爽脆黑木耳.json
凉拌花生黑木耳,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_凉拌花生黑木耳.json
凉拌金菇黑木耳,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_凉拌金菇黑木耳.json
凉拌香辣黑木耳,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_凉拌香辣黑木耳.json
凉拌黑木耳,凉菜,A-pattern,50,黑木耳凉拌,Kitchen/Recipes/凉菜/凉菜_凉拌黑木耳.json
凉拌黑木耳苦瓜,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_凉拌黑木耳苦瓜.json
凉拌黑木耳酸辣味,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_凉拌黑木耳酸辣味.json
午餐便当凉拌木耳,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_午餐便当凉拌木耳.json
西芹花生凉拌黑木耳,凉菜,A-pattern,55,黑木耳凉拌变体,Kitchen/Recipes/凉菜/凉菜_西芹花生凉拌黑木耳.json
上海秘制红烧肉,家常菜,A-pattern,310,本帮红烧肉偏甜,Kitchen/Recipes/家常菜/家常菜_上海秘制红烧肉.json
上海红烧肉,家常菜,A-pattern,310,本帮红烧肉偏甜,Kitchen/Recipes/家常菜/家常菜_上海红烧肉.json
元宝红烧肉,家常菜,A-pattern,260,红烧肉减油版,Kitchen/Recipes/家常菜/家常菜_元宝红烧肉.json
冻豆腐红烧肉,家常菜,A-pattern,260,红烧肉减油版,Kitchen/Recipes/家常菜/家常菜_冻豆腐红烧肉.json
十分钟红烧鱼,家常菜,A-pattern,180,红烧鱼简化版,Kitchen/Recipes/家常菜/家常菜_十分钟红烧鱼.json
可乐姜汁鸡翅,家常菜,A-pattern,240,可乐鸡翅变体,Kitchen/Recipes/家常菜/家常菜_可乐姜汁鸡翅.json
可乐烧鸡翅,家常菜,A-pattern,240,可乐鸡翅变体,Kitchen/Recipes/家常菜/家常菜_可乐烧鸡翅.json
可乐鸡翅,家常菜,A-pattern,230,可乐鸡翅标准,Kitchen/Recipes/家常菜/家常菜_可乐鸡翅.json
可乐鸡翅根,家常菜,A-pattern,240,可乐鸡翅变体,Kitchen/Recipes/家常菜/家常菜_可乐鸡翅根.json
啤酒红烧鱼,家常菜,A-pattern,180,红烧鱼简化版,Kitchen/Recipes/家常菜/家常菜_啤酒红烧鱼.json
土豆红烧排骨,家常菜,A-pattern,270,红烧排骨+配菜,Kitchen/Recipes/家常菜/家常菜_土豆红烧排骨.json
土豆红烧肉,家常菜,A-pattern,290,红烧肉标准,Kitchen/Recipes/家常菜/家常菜_土豆红烧肉.json
外婆红烧肉,家常菜,A-pattern,310,本帮红烧肉偏甜,Kitchen/Recipes/家常菜/家常菜_外婆红烧肉.json
大众可乐鸡翅,家常菜,A-pattern,230,可乐鸡翅口味变体,Kitchen/Recipes/家常菜/家常菜_大众可乐鸡翅.json
家常红烧排骨,家常菜,A-pattern,260,红烧排骨,Kitchen/Recipes/家常菜/家常菜_家常红烧排骨.json
家常红烧鱼,家常菜,A-pattern,180,红烧鱼,Kitchen/Recipes/家常菜/家常菜_家常红烧鱼.json
家常红烧鱼块,家常菜,A-pattern,180,红烧鱼,Kitchen/Recipes/家常菜/家常菜_家常红烧鱼块.json
山楂红烧肉,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_山楂红烧肉.json
微波炉巧做可乐鸡翅,家常菜,A-pattern,230,可乐鸡翅口味变体,Kitchen/Recipes/家常菜/家常菜_微波炉巧做可乐鸡翅.json
意式肉酱面,家常菜,A-pattern,250,肉酱意面,Kitchen/Recipes/家常菜/家常菜_意式肉酱面.json
改良版可乐鸡翅,家常菜,A-pattern,230,可乐鸡翅口味变体,Kitchen/Recipes/家常菜/家常菜_改良版可乐鸡翅.json
无油版可乐鸡翅,家常菜,A-pattern,230,可乐鸡翅口味变体,Kitchen/Recipes/家常菜/家常菜_无油版可乐鸡翅.json
无油红烧肉,家常菜,A-pattern,260,红烧肉减油版,Kitchen/Recipes/家常菜/家常菜_无油红烧肉.json
无酱油版红烧排骨,家常菜,A-pattern,260,红烧排骨,Kitchen/Recipes/家常菜/家常菜_无酱油版红烧排骨.json
本帮红烧肉,家常菜,A-pattern,310,本帮红烧肉偏甜,Kitchen/Recipes/家常菜/家常菜_本帮红烧肉.json
柠檬可乐鸡翅,家常菜,A-pattern,230,可乐鸡翅口味变体,Kitchen/Recipes/家常菜/家常菜_柠檬可乐鸡翅.json
柠香可乐鸡翅,家常菜,A-pattern,230,可乐鸡翅口味变体,Kitchen/Recipes/家常菜/家常菜_柠香可乐鸡翅.json
栗子红烧肉,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_栗子红烧肉.json
桂香红烧肉,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_桂香红烧肉.json
橙香可乐鸡翅,家常菜,A-pattern,230,可乐鸡翅口味变体,Kitchen/Recipes/家常菜/家常菜_橙香可乐鸡翅.json
毛家红烧肉,家常菜,A-pattern,320,毛家红烧肉,Kitchen/Recipes/家常菜/家常菜_毛家红烧肉.json
毛氏红烧肉,家常菜,A-pattern,320,毛家红烧肉,Kitchen/Recipes/家常菜/家常菜_毛氏红烧肉.json
汽水红烧肉,家常菜,A-pattern,290,汽水红烧肉类可乐,Kitchen/Recipes/家常菜/家常菜_汽水红烧肉.json
泡椒黑木耳,家常菜,A-pattern,70,黑木耳+配菜,Kitchen/Recipes/家常菜/家常菜_泡椒黑木耳.json
海参红烧肉,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_海参红烧肉.json
